# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 428                                  -6.486859             0.580062                      -5.906797 
 429                                  -6.488947             0.582148                      -5.906799 
 430                                  -6.490473             0.583675                      -5.906798 
 431                                  -6.491382             0.584580                      -5.906802 
 432                                  -6.491645             0.584850                      -5.906795 
 433                                  -6.491305             0.584527                      -5.906778 
 434                                  -6.490471             0.583717                      -5.906755 
 435                                  -6.489312             0.582583                      -5.906729 
 436                                  -6.488043             0.581335                      -5.906708 
 437                                  -6.486897             0.580211                      -5.906686 
 438                                  -6.486112             0.579446                      -5.906666 
 439                                  -6.485887             0.579239                      -5.906648 
 440                                  -6.486354             0.579725                      -5.906629 
 441                                  -6.487566             0.580949                      -5.906616 
 442                                  -6.489465             0.582856                      -5.906609 
 443                                  -6.491895             0.585294                      -5.906601 
 444                                  -6.494642             0.588041                      -5.906602 
 445                                  -6.497443             0.590830                      -5.906613 
 446                                  -6.500018             0.593393                      -5.906624 
 447                                  -6.502121             0.595489                      -5.906632 
 448                                  -6.503564             0.596926                      -5.906637 
 449                                  -6.504217             0.597575                      -5.906642 
 450                                  -6.504001             0.597363                      -5.906638 
 451                                  -6.502898             0.596274                      -5.906624 
 452                                  -6.500939             0.594331                      -5.906608 
 453                                  -6.498197             0.591598                      -5.906599 
 454                                  -6.494761             0.588172                      -5.906588 
 455                                  -6.490761             0.584188                      -5.906574 
 456                                  -6.486362             0.579810                      -5.906552 
 457                                  -6.481765             0.575238                      -5.906527 
 458                                  -6.477198             0.570691                      -5.906507 
 459                                  -6.472885             0.566397                      -5.906488 
 460                                  -6.469045             0.562573                      -5.906472 
 461                                  -6.465873             0.559411                      -5.906462 
 462                                  -6.463518             0.557054                      -5.906464 
 463                                  -6.462065             0.555584                      -5.906481 
 464                                  -6.461525             0.555015                      -5.906510 
 465                                  -6.461841             0.555288                      -5.906553 
 466                                  -6.462896             0.556290                      -5.906605 
 467                                  -6.464526             0.557865                      -5.906660 
 468                                  -6.466546             0.559835                      -5.906711 
 469                                  -6.468776             0.562020                      -5.906756 
 470                                  -6.471055             0.564255                      -5.906800 
 471                                  -6.473243             0.566406                      -5.906837 
 472                                  -6.475251             0.568380                      -5.906871 
 473                                  -6.477034             0.570130                      -5.906904 
 474                                  -6.478589             0.571655                      -5.906934 
 475                                  -6.479947             0.572988                      -5.906958 
 476                                  -6.481155             0.574183                      -5.906972 
 477                                  -6.482268             0.575288                      -5.906980 
 478                                  -6.483321             0.576334                      -5.906987 
 479                                  -6.484309             0.577316                      -5.906993 
 480                                  -6.485196             0.578195                      -5.907001 
 481                                  -6.485910             0.578904                      -5.907005 
 482                                  -6.486370             0.579369                      -5.907001 
 483                                  -6.486514             0.579521                      -5.906993 
 484                                  -6.486300             0.579319                      -5.906981 
 485                                  -6.485723             0.578752                      -5.906971 
 486                                  -6.484799             0.577840                      -5.906959 
 487                                  -6.483569             0.576624                      -5.906945 
 488                                  -6.482082             0.575155                      -5.906927 
 489                                  -6.480397             0.573487                      -5.906910 
 490                                  -6.478572             0.571667                      -5.906905 
 491                                  -6.476637             0.569742                      -5.906895 
 492                                  -6.474649             0.567760                      -5.906889 
 493                                  -6.472662             0.565777                      -5.906885 
 494                                  -6.470746             0.563868                      -5.906878 
 495                                  -6.468999             0.562127                      -5.906871 
 496                                  -6.467538             0.560667                      -5.906871 
 497                                  -6.466475             0.559606                      -5.906869 
 498                                  -6.465924             0.559055                      -5.906870 
 499                                  -6.465972             0.559100                      -5.906872 
 500                                  -6.466665             0.559789                      -5.906876 
