# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 443                                  -6.496890             0.458456                      -6.038434 
 444                                  -6.493894             0.455402                      -6.038492 
 445                                  -6.491124             0.452571                      -6.038553 
 446                                  -6.488551             0.449944                      -6.038607 
 447                                  -6.486184             0.447517                      -6.038667 
 448                                  -6.484061             0.445338                      -6.038722 
 449                                  -6.482303             0.443536                      -6.038767 
 450                                  -6.481123             0.442320                      -6.038803 
 451                                  -6.480800             0.441961                      -6.038839 
 452                                  -6.481618             0.442741                      -6.038877 
 453                                  -6.483804             0.444885                      -6.038919 
 454                                  -6.487460             0.448497                      -6.038963 
 455                                  -6.492545             0.453527                      -6.039018 
 456                                  -6.498861             0.459771                      -6.039090 
 457                                  -6.506105             0.466913                      -6.039192 
 458                                  -6.513859             0.474577                      -6.039281 
 459                                  -6.521764             0.482383                      -6.039381 
 460                                  -6.529436             0.489980                      -6.039455 
 461                                  -6.536599             0.497082                      -6.039517 
 462                                  -6.543047             0.503474                      -6.039572 
 463                                  -6.548633             0.509024                      -6.039609 
 464                                  -6.553306             0.513678                      -6.039628 
 465                                  -6.557077             0.517456                      -6.039622 
 466                                  -6.560038             0.520432                      -6.039606 
 467                                  -6.562301             0.522719                      -6.039582 
 468                                  -6.563980             0.524445                      -6.039535 
 469                                  -6.565226             0.525731                      -6.039495 
 470                                  -6.566157             0.526681                      -6.039476 
 471                                  -6.566829             0.527375                      -6.039454 
 472                                  -6.567312             0.527868                      -6.039444 
 473                                  -6.567650             0.528201                      -6.039450 
 474                                  -6.567874             0.528402                      -6.039472 
 475                                  -6.567984             0.528503                      -6.039481 
 476                                  -6.568017             0.528542                      -6.039475 
 477                                  -6.568033             0.528570                      -6.039462 
 478                                  -6.568108             0.528655                      -6.039452 
 479                                  -6.568321             0.528877                      -6.039444 
 480                                  -6.568763             0.529318                      -6.039445 
 481                                  -6.569496             0.530051                      -6.039445 
 482                                  -6.570558             0.531122                      -6.039437 
 483                                  -6.571960             0.532534                      -6.039426 
 484                                  -6.573646             0.534236                      -6.039410 
 485                                  -6.575516             0.536125                      -6.039392 
 486                                  -6.577420             0.538047                      -6.039373 
 487                                  -6.579172             0.539820                      -6.039352 
 488                                  -6.580584             0.541246                      -6.039338 
 489                                  -6.581471             0.542141                      -6.039330 
 490                                  -6.581669             0.542346                      -6.039323 
 491                                  -6.581060             0.541749                      -6.039311 
 492                                  -6.579575             0.540287                      -6.039289 
 493                                  -6.577210             0.537948                      -6.039262 
 494                                  -6.573996             0.534762                      -6.039234 
 495                                  -6.569978             0.530784                      -6.039194 
 496                                  -6.565240             0.526083                      -6.039157 
 497                                  -6.559855             0.520731                      -6.039124 
 498                                  -6.553898             0.514803                      -6.039095 
 499                                  -6.547446             0.508383                      -6.039063 
 500                                  -6.540589             0.501584                      -6.039005 
